,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
973,33,1,1.0,1.0,1.0,1.4,49.0,10,13.0,4.0,19.2,0.0,0.0,0.0,2022-01-01,1,3,19,1,2.0,2.0,8.333333333333334,4.333333333333333,16.96666666666667,0.3333333333333333,0.0,0.3333333333333333,6,0,1,0
974,34,0,0.0,0.0,1.0,2.8,48.0,15,19.0,9.0,20.0,0.0,0.0,0.0,2022-01-01,0,14,15,5,2.0,2.0,10.333333333333334,4.666666666666667,18.466666666666665,0.3333333333333333,0.0,0.3333333333333333,6,0,1,0
975,37,1,1.0,2.0,0.4,1.1,36.0,15,7.0,3.0,20.1,0.0,0.0,0.0,2022-01-01,1,5,15,5,1.0,1.6666666666666667,11.333333333333334,5.0,19.933333333333334,0.0,0.0,0.0,6,1,0,0
976,1,1,2.0,1.0,1.1,1.0,54.0,15,13.0,5.0,17.7,2.0,0.0,0.0,2022-01-01,1,9,14,6,0.6666666666666666,1.0,13.0,5.333333333333333,19.76666666666667,0.0,0.0,0.0,6,0,0,1
977,2,0,0.0,0.0,0.4,1.0,46.0,15,8.0,1.0,21.2,0.0,0.0,0.0,2022-01-01,0,10,12,5,1.0,1.0,13.0,5.666666666666667,19.266666666666666,0.6666666666666666,0.0,0.0,6,0,1,0
978,3,1,2.0,1.0,1.2,0.8,51.0,15,14.0,4.0,17.3,1.0,0.0,0.0,2022-01-01,1,19,20,1,1.0,1.0,9.333333333333334,3.0,19.666666666666668,0.6666666666666666,0.0,0.0,6,0,0,1
979,4,0,0.0,3.0,0.9,1.4,54.0,10,9.0,2.0,17.1,2.0,0.0,0.0,2022-01-01,0,7,15,5,1.3333333333333333,0.6666666666666666,11.666666666666666,3.333333333333333,18.73333333333333,1.0,0.0,0.0,6,1,0,0
980,5,1,1.0,0.0,0.9,1.3,44.0,15,12.0,3.0,20.0,1.0,0.0,0.0,2022-01-01,1,16,15,5,0.6666666666666666,1.3333333333333333,10.333333333333334,2.333333333333333,18.53333333333333,1.0,0.0,0.0,6,0,0,1
981,6,0,2.0,1.0,1.0,0.3,58.0,15,15.0,6.0,20.5,2.0,0.0,0.0,2022-01-01,0,18,14,6,1.0,1.3333333333333333,11.666666666666666,3.0,18.133333333333336,1.3333333333333333,0.0,0.0,6,0,0,1
982,7,0,0.0,1.0,1.2,1.1,68.0,15,7.0,0.0,16.9,0.0,0.0,1.0,2022-01-01,0,15,15,5,1.0,1.3333333333333333,12.0,3.6666666666666665,19.200000000000003,1.6666666666666667,0.0,0.0,6,1,0,0
983,8,1,0.0,3.0,0.4,2.5,36.0,15,4.0,0.0,13.0,0.0,0.0,0.0,2022-01-01,1,8,15,0,1.0,0.6666666666666666,11.333333333333334,3.0,19.13333333333333,1.0,0.0,0.3333333333333333,6,1,0,0
984,9,0,2.0,0.0,1.6,0.6,41.0,12,15.0,6.0,18.9,1.0,0.0,0.0,2022-01-01,0,2,15,5,0.6666666666666666,1.6666666666666667,8.666666666666666,2.0,16.799999999999997,0.6666666666666666,0.0,0.3333333333333333,6,0,0,1
985,10,1,0.0,4.0,0.8,1.4,47.0,12,19.0,4.0,20.1,0.0,0.0,0.0,2022-01-01,1,17,20,2,0.6666666666666666,1.3333333333333333,8.666666666666666,2.0,16.266666666666666,0.3333333333333333,0.0,0.3333333333333333,6,1,0,0
986,12,0,0.0,1.0,0.7,1.5,39.0,12,10.0,5.0,17.9,0.0,0.0,0.0,2022-01-01,0,5,14,6,0.6666666666666666,2.333333333333333,12.666666666666666,3.333333333333333,17.333333333333332,0.3333333333333333,0.0,0.0,6,1,0,0
987,35,1,1.0,1.0,0.5,2.1,40.0,12,10.0,5.0,18.2,2.0,0.0,0.0,2022-01-01,1,13,20,2,0.6666666666666666,1.6666666666666667,14.666666666666666,5.0,18.966666666666665,0.3333333333333333,0.0,0.0,6,0,1,0
988,13,1,0.0,0.0,0.3,1.2,40.0,12,6.0,1.0,19.9,0.0,0.0,0.0,2022-01-01,1,14,17,5,0.3333333333333333,2.0,13.0,4.666666666666667,18.73333333333333,0.6666666666666666,0.0,0.0,6,0,1,0
989,14,0,1.0,2.0,1.3,2.0,48.0,12,10.0,3.0,12.8,0.0,0.0,0.0,2022-01-01,0,13,15,5,0.3333333333333333,0.6666666666666666,8.666666666666666,3.6666666666666665,18.666666666666668,0.6666666666666666,0.0,0.0,6,1,0,0
990,15,1,1.0,1.0,1.1,2.5,27.0,17,6.0,1.0,12.4,0.0,0.0,0.0,2022-01-01,1,4,15,5,0.6666666666666666,1.0,8.666666666666666,3.0,16.966666666666665,0.6666666666666666,0.0,0.0,6,0,1,0
991,16,0,1.0,1.0,1.1,0.9,41.0,12,10.0,4.0,14.4,0.0,0.0,0.0,2022-01-01,0,3,15,5,0.6666666666666666,1.0,7.333333333333333,1.6666666666666667,15.033333333333331,0.0,0.0,0.0,6,0,1,0
992,17,1,0.0,0.0,0.7,0.9,37.0,12,6.0,0.0,15.0,0.0,0.0,0.0,2022-01-01,1,11,19,5,1.0,1.3333333333333333,8.666666666666666,2.6666666666666665,13.2,0.0,0.0,0.0,6,0,1,0
993,18,0,0.0,1.0,0.2,1.2,42.0,12,3.0,0.0,16.9,0.0,0.0,0.0,2022-01-01,0,1,15,5,0.6666666666666666,0.6666666666666666,7.333333333333333,1.6666666666666667,13.933333333333332,0.0,0.0,0.0,6,1,0,0
994,19,1,0.0,1.0,0.2,2.1,33.0,15,4.0,0.0,17.5,0.0,0.0,0.0,2022-01-01,1,12,17,5,0.3333333333333333,0.6666666666666666,6.333333333333333,1.3333333333333333,15.433333333333332,0.0,0.0,0.0,6,1,0,0
995,36,0,0.0,1.0,1.1,0.6,43.0,15,11.0,3.0,17.3,1.0,0.0,0.0,2022-01-01,0,4,19,2,0.0,0.6666666666666666,4.333333333333333,0.0,16.466666666666665,0.0,0.0,0.0,6,1,0,0
996,20,0,1.0,4.0,0.8,1.6,38.0,12,9.0,5.0,14.6,1.0,0.0,0.0,2022-01-01,0,0,14,6,0.0,1.0,6.0,1.0,17.233333333333334,0.3333333333333333,0.0,0.0,6,1,0,0
997,21,1,2.0,1.0,2.3,0.2,52.0,15,31.0,9.0,19.0,2.0,0.0,0.0,2022-01-01,1,10,15,5,0.3333333333333333,2.0,8.0,2.6666666666666665,16.466666666666665,0.6666666666666666,0.0,0.0,6,0,0,1
998,23,0,5.0,1.0,3.0,0.9,52.0,15,16.0,7.0,12.3,1.0,0.0,0.0,2022-01-01,0,9,14,6,1.0,2.0,17.0,5.666666666666667,16.966666666666665,1.3333333333333333,0.0,0.0,6,0,0,1
999,24,0,2.0,0.0,0.9,0.8,42.0,15,10.0,2.0,23.7,2.0,0.0,0.0,2022-01-01,0,16,15,5,2.6666666666666665,2.0,18.666666666666668,7.0,15.299999999999995,1.3333333333333333,0.0,0.0,6,0,0,1
1147,0,1,0.0,1.0,0.7,1.5,38.0,20,8.0,3.0,13.5,0.0,0.0,0.0,2022-01-01,1,5,17,5,2.0,3.333333333333333,9.0,4.0,17.866666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,1,0,0
1148,11,0,1.0,2.0,1.6,2.3,43.0,4,15.0,4.0,14.8,0.0,0.0,0.0,2022-01-01,0,1,12,5,1.3333333333333333,2.6666666666666665,8.666666666666666,3.6666666666666665,16.566666666666666,0.3333333333333333,0.0,0.0,7,1,0,0
