,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
351,7,3.0,1.0,1.9,1.1,60.0,15,15.0,7.0,12.4,0.0,0.0,0.0,1,16,15,5,11,1,0,0
352,8,3.0,1.0,2.7,1.4,52.0,15,16.0,9.0,17.0,0.0,0.0,0.0,0,1,17,0,11,1,0,0
353,9,2.0,1.0,2.2,1.0,57.0,15,21.0,5.0,18.4,1.0,0.0,0.0,1,10,20,4,11,1,0,0
354,10,1.0,3.0,2.0,1.7,72.0,15,16.0,5.0,15.3,0.0,0.0,0.0,0,3,17,0,11,0,1,0
355,12,0.0,3.0,1.0,1.9,39.0,8,6.0,2.0,12.8,0.0,0.0,0.0,0,4,15,5,11,0,1,0
356,13,0.0,0.0,1.4,1.6,48.0,15,15.0,3.0,15.5,0.0,0.0,0.0,1,5,12,5,11,0,0,1
357,14,0.0,3.0,1.8,2.0,59.0,15,22.0,2.0,19.5,1.0,0.0,0.0,0,19,15,5,11,0,1,0
358,15,2.0,0.0,2.3,0.4,59.0,15,15.0,6.0,16.7,1.0,0.0,0.0,1,7,20,0,11,1,0,0
359,16,2.0,0.0,1.9,2.0,62.0,15,13.0,7.0,16.4,1.0,0.0,0.0,0,14,17,5,11,1,0,0
360,17,0.0,0.0,0.9,0.7,63.0,15,12.0,4.0,16.0,1.0,0.0,0.0,0,6,19,5,11,0,0,1
361,35,2.0,0.0,2.6,0.8,57.0,15,15.0,6.0,13.6,0.0,0.0,0.0,1,19,20,2,11,1,0,0
362,18,7.0,0.0,2.8,0.8,59.0,15,18.0,8.0,12.7,0.0,0.0,0.0,1,13,16,6,11,1,0,0
363,19,0.0,1.0,1.7,0.9,69.0,15,14.0,5.0,18.5,0.0,0.0,1.0,0,2,12,5,11,0,1,0
364,21,1.0,4.0,0.3,2.9,32.0,15,4.0,1.0,15.9,0.0,0.0,0.0,0,12,12,5,11,0,1,0
365,36,0.0,0.0,0.3,2.2,51.0,15,7.0,3.0,25.4,0.0,0.0,0.0,0,5,20,1,11,0,0,1
366,23,2.0,2.0,3.9,1.4,59.0,15,20.0,6.0,14.0,0.0,0.0,1.0,1,0,16,6,11,0,0,1
367,24,6.0,1.0,2.7,1.4,73.0,15,13.0,7.0,12.9,0.0,0.0,0.0,0,9,20,0,11,1,0,0
