,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
1002,37,3.0,0.0,3.1,1.6,56.0,15,24.0,11.0,12.7,0.0,0.0,0.0,1,10,19,6,11,1,0,0
1003,1,1.0,1.0,0.2,2.3,60.0,15,6.0,2.0,21.1,0.0,0.0,0.0,0,4,12,5,11,0,0,1
1004,2,4.0,0.0,1.2,0.4,60.0,15,11.0,6.0,17.2,1.0,0.0,0.0,1,19,19,6,11,1,0,0
1005,3,1.0,1.0,1.8,1.5,74.0,15,11.0,5.0,21.7,1.0,1.0,1.0,0,8,16,6,11,0,0,1
1006,4,2.0,1.0,1.0,1.1,75.0,15,17.0,11.0,16.4,0.0,0.0,0.0,1,17,20,2,11,1,0,0
1007,5,7.0,0.0,2.5,0.3,64.0,15,14.0,7.0,14.1,1.0,0.0,0.0,0,6,12,5,11,1,0,0
1008,7,0.0,0.0,1.4,0.5,72.0,15,11.0,4.0,18.3,0.0,0.0,0.0,0,14,20,2,11,0,0,1
1009,8,0.0,1.0,1.5,0.4,66.0,15,17.0,1.0,15.7,0.0,0.0,0.0,0,16,20,0,11,0,1,0
1010,10,0.0,0.0,1.2,1.1,65.0,15,17.0,3.0,17.9,0.0,0.0,0.0,1,13,16,6,11,0,0,1
1011,12,3.0,1.0,2.5,0.1,50.0,15,14.0,7.0,15.5,0.0,0.0,0.0,0,17,20,3,11,1,0,0
1012,13,3.0,1.0,2.0,0.8,67.0,13,14.0,5.0,15.7,0.0,0.0,0.0,0,18,16,6,11,1,0,0
1013,14,0.0,1.0,1.0,1.3,63.0,15,11.0,1.0,20.9,0.0,0.0,0.0,1,4,20,2,11,0,1,0
1014,15,1.0,4.0,1.2,3.5,56.0,15,7.0,2.0,19.4,1.0,1.0,1.0,1,12,16,6,11,0,1,0
1015,16,1.0,3.0,1.7,1.9,62.0,15,15.0,4.0,15.4,2.0,0.0,0.0,0,10,12,5,11,0,1,0
1016,17,0.0,2.0,1.4,1.6,71.0,15,15.0,6.0,17.1,1.0,0.0,0.0,1,7,17,5,11,0,1,0
1017,21,0.0,1.0,0.3,1.0,54.0,15,7.0,1.0,19.7,0.0,0.0,0.0,1,5,20,3,11,0,1,0
1018,19,0.0,1.0,0.9,1.3,63.0,15,16.0,3.0,17.3,1.0,0.0,0.0,1,8,14,6,11,0,1,0
