,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
114,15,0,1.0,1.0,2.0,1.6,31.0,7,9.0,2.0,12.9,0.0,0.0,0.0,0,0,15,5,1.6666666666666667,0.0,10.333333333333334,2.0,19.866666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,0
115,16,1,1.0,1.0,0.9,1.1,59.0,15,12.0,5.0,19.0,0.0,0.0,0.0,1,6,15,5,1.3333333333333333,0.3333333333333333,9.666666666666666,1.6666666666666667,16.4,0.3333333333333333,0.0,0.0,3,0,0
116,18,1,3.0,2.0,2.2,1.4,37.0,15,13.0,5.0,19.8,2.0,1.0,1.0,1,8,20,0,1.6666666666666667,0.6666666666666666,11.666666666666666,3.333333333333333,14.666666666666666,0.0,0.0,0.0,3,0,1
117,19,0,0.0,1.0,2.0,1.0,67.0,15,12.0,3.0,13.0,1.0,0.0,0.0,0,7,15,5,1.6666666666666667,1.3333333333333333,11.333333333333334,4.0,17.23333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,1,0
118,35,0,2.0,0.0,1.9,0.5,34.0,15,11.0,4.0,18.3,0.0,0.0,0.0,0,16,19,2,1.3333333333333333,1.3333333333333333,12.333333333333334,4.333333333333333,17.266666666666666,1.0,0.3333333333333333,0.3333333333333333,3,0,1
119,20,1,1.0,1.0,0.6,1.3,53.0,15,11.0,2.0,17.5,0.0,0.0,0.0,1,10,15,5,1.6666666666666667,1.0,12.0,4.0,17.03333333333333,1.0,0.3333333333333333,0.3333333333333333,3,0,0
120,21,0,3.0,3.0,1.6,4.2,28.0,19,7.0,5.0,15.6,1.0,0.0,0.0,0,4,15,5,1.0,0.6666666666666666,11.333333333333334,3.0,16.266666666666666,0.3333333333333333,0.0,0.0,3,0,0
121,17,0,0.0,1.0,0.7,1.2,36.0,19,6.0,1.0,16.5,0.0,0.0,0.0,0,13,20,2,2.0,1.3333333333333333,9.666666666666666,3.6666666666666665,17.133333333333333,0.3333333333333333,0.0,0.0,3,1,0
122,23,1,1.0,2.0,2.6,1.3,42.0,19,10.0,4.0,15.5,0.0,1.0,2.0,1,14,15,5,1.3333333333333333,1.6666666666666667,8.0,2.6666666666666665,16.53333333333333,0.3333333333333333,0.0,0.0,3,1,0
123,24,0,0.0,2.0,1.1,0.8,50.0,15,10.0,3.0,15.6,0.0,0.0,0.0,0,19,15,5,1.3333333333333333,2.0,7.666666666666667,3.333333333333333,15.866666666666664,0.3333333333333333,0.3333333333333333,0.6666666666666666,3,1,0
