,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
11,14,1,2.0,2.0,1.2,3.0,58.0,4,14.0,6.0,16.5,1.0,0.0,0.0,2017-01-01,1,5,19,2,2.333333333333333,1.6666666666666667,16.666666666666668,6.0,18.6,0.6666666666666666,0.0,0.0,0,0,1,0
12,15,0,1.0,2.0,1.1,0.8,59.0,4,12.0,3.0,19.8,0.0,0.0,0.0,2017-01-01,0,2,13,6,2.6666666666666665,2.333333333333333,13.666666666666666,6.333333333333333,18.3,1.0,0.0,0.0,0,1,0,0
13,16,1,4.0,1.0,2.9,0.6,63.0,10,16.0,10.0,13.7,1.0,0.0,0.0,2017-01-01,1,6,15,5,2.0,2.0,14.0,6.0,18.26666666666667,0.6666666666666666,0.0,0.0,0,0,0,1
14,18,1,5.0,1.0,2.6,1.2,57.0,12,15.0,7.0,14.8,1.0,0.0,0.0,2017-01-01,1,7,17,5,2.333333333333333,1.6666666666666667,14.0,6.333333333333333,16.666666666666668,0.6666666666666666,0.0,0.0,0,0,0,1
15,19,0,0.0,1.0,0.6,2.6,50.0,15,6.0,1.0,19.6,1.0,0.0,0.0,2017-01-01,0,17,12,5,3.333333333333333,1.3333333333333333,14.333333333333334,6.666666666666667,16.099999999999998,0.6666666666666666,0.0,0.0,0,1,0,0
16,20,1,0.0,3.0,1.3,1.5,46.0,12,9.0,4.0,22.0,1.0,0.0,1.0,2017-01-01,1,12,19,3,3.0,1.0,12.333333333333334,6.0,16.033333333333335,1.0,0.0,0.0,0,1,0,0
17,21,0,1.0,2.0,1.2,1.2,67.0,12,15.0,7.0,17.3,1.0,0.0,0.0,2017-01-01,0,4,13,6,1.6666666666666667,1.6666666666666667,10.0,4.0,18.8,1.0,0.0,0.3333333333333333,0,1,0,0
18,26,1,3.0,2.0,1.6,2.0,64.0,12,13.0,7.0,18.6,1.0,0.0,0.0,2017-01-01,1,16,14,6,0.3333333333333333,2.0,10.0,4.0,19.633333333333336,1.0,0.0,0.3333333333333333,0,0,0,1
19,27,0,1.0,2.0,1.2,0.8,71.0,15,15.0,3.0,19.5,1.0,0.0,0.0,2017-01-01,0,14,13,6,1.3333333333333333,2.333333333333333,12.333333333333334,6.0,19.3,1.0,0.0,0.3333333333333333,0,1,0,0
20,28,1,4.0,1.0,1.8,0.8,67.0,15,20.0,8.0,18.5,1.0,0.0,0.0,2017-01-01,1,18,13,6,1.6666666666666667,2.0,14.333333333333334,5.666666666666667,18.46666666666667,1.0,0.0,0.0,0,0,0,1
21,29,0,1.0,2.0,0.5,1.7,41.0,12,8.0,3.0,18.8,0.0,0.0,0.0,2017-01-01,0,13,16,6,2.6666666666666665,1.6666666666666667,16.0,6.0,18.86666666666667,1.0,0.0,0.0,0,1,0,0
22,24,0,1.0,3.0,1.4,2.2,59.0,15,14.0,7.0,14.3,0.0,0.0,0.0,2017-01-01,0,10,19,2,2.0,1.6666666666666667,14.333333333333334,4.666666666666667,18.933333333333334,0.6666666666666666,0.0,0.0,0,1,0,0
23,0,1,0.0,2.0,0.5,1.7,42.0,12,9.0,3.0,18.7,0.0,0.0,0.0,2018-01-01,1,12,16,6,2.0,2.0,14.0,6.0,17.2,0.3333333333333333,0.0,0.0,0,1,0,0
